Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,572255,b'Oregon',44.6881,-124.136,0,-8,4500.5303,-,s,deg,s,deg,s,W/m,s,m,-,47,v1.0.0
Year,Month,Day,Hour,Minute,Significant Wave Height,Energy Period
2010,2,21,9,0,1.637179970741272,10.442299842834473
2010,2,21,12,0,1.62677001953125,11.14430046081543
2010,2,21,15,0,1.6886399984359741,12.038999557495117
2010,2,21,18,0,1.7889100313186646,12.672900199890137
2010,2,21,21,0,1.9078500270843506,12.963000297546387
2010,2,22,0,0,2.0353798866271973,13.125300407409668
2010,2,22,3,0,2.127500057220459,13.131999969482422
2010,2,22,6,0,2.1968600749969482,12.988499641418457
2010,2,22,9,0,2.2575199604034424,12.76039981842041
2010,2,22,12,0,2.2955000400543213,12.511099815368652
2010,2,22,15,0,2.3148701190948486,12.286800384521484
2010,2,22,18,0,2.2822000980377197,12.0378999710083
2010,2,22,21,0,2.1803700923919678,11.680800437927246
2010,2,23,0,0,2.032020092010498,11.260600090026855
2010,2,23,3,0,1.9247100353240967,10.589599609375
2010,2,23,6,0,1.9560999870300293,9.959099769592285
2010,2,23,9,0,2.0494699478149414,9.851699829101562
2010,2,23,12,0,2.171610116958618,9.7391996383667
2010,2,23,15,0,2.321690082550049,9.843000411987305
2010,2,23,18,0,2.557800054550171,9.972000122070312
2010,2,23,21,0,2.705310106277466,10.687299728393555
2010,2,24,0,0,2.730560064315796,11.343199729919434
2010,2,24,3,0,2.7898099422454834,11.936599731445312
2010,2,24,6,0,2.870490074157715,12.28219985961914
2010,2,24,9,0,2.9494500160217285,12.298700332641602
2010,2,24,12,0,3.161710023880005,11.72029972076416
2010,2,24,15,0,3.32450008392334,11.556099891662598
2010,2,24,18,0,3.4290900230407715,11.165300369262695
2010,2,24,21,0,3.2296700477600098,11.05620002746582
2010,2,25,0,0,3.0376501083374023,10.695799827575684
2010,2,25,3,0,2.784559965133667,10.84570026397705
2010,2,25,6,0,2.6121199131011963,10.753999710083008
2010,2,25,9,0,2.4992098808288574,10.371500015258789
2010,2,25,12,0,2.4417800903320312,10.03030014038086
2010,2,25,15,0,2.400789976119995,10.070799827575684
2010,2,25,18,0,2.374150037765503,10.206000328063965
2010,2,25,21,0,2.3666601181030273,10.381799697875977
2010,2,26,0,0,2.367449998855591,10.464200019836426
2010,2,26,3,0,2.3212099075317383,10.306599617004395
2010,2,26,6,0,2.36749005317688,9.586000442504883
2010,2,26,9,0,2.6358799934387207,9.421099662780762
2010,2,26,12,0,3.0119800567626953,9.263400077819824
2010,2,26,15,0,2.7814700603485107,9.75469970703125
2010,2,26,18,0,2.6208701133728027,10.00570011138916
2010,2,26,21,0,2.541840076446533,10.153400421142578
2010,2,27,0,0,2.5381600856781006,10.304800033569336
2010,2,27,3,0,2.507999897003174,10.373700141906738
2010,2,27,6,0,2.9742701053619385,8.821399688720703
2010,2,27,9,0,3.275899887084961,8.661399841308594
2010,2,27,12,0,3.093519926071167,9.049099922180176
