,Diffuse irradiance|W/m2,Global horizontal irradiance|W/m2,Beam irradiance|W/m2,Plane of array irradiance|W/m2
"Jun 30, 12:00 am",0,0,0,0
"Jun 30, 01:00 am",0,0,0,0
"Jun 30, 02:00 am",0,0,0,0
"Jun 30, 03:00 am",0,0,0,0
"Jun 30, 04:00 am",0,0,0,0
"Jun 30, 05:00 am",15,24,93,11.727
"Jun 30, 06:00 am",40,155,534,32.4202
"Jun 30, 07:00 am",59,365,741,234
"Jun 30, 08:00 am",78,574,831,466.997
"Jun 30, 09:00 am",106,690,771,616.794
"Jun 30, 10:00 am",121,874,857,816.008
"Jun 30, 11:00 am",109,1005,936,956.349
"Jun 30, 12:00 pm",111,1032,935,987.573
"Jun 30, 01:00 pm",109,1011,940,963.244
"Jun 30, 02:00 pm",117,882,865,824.686
"Jun 30, 03:00 pm",86,733,847,656.245
"Jun 30, 04:00 pm",98,556,757,459.833
"Jun 30, 05:00 pm",148,375,537,266.421
"Jun 30, 06:00 pm",82,123,183,65.8644
"Jun 30, 07:00 pm",24,27,28,20.093
"Jun 30, 08:00 pm",0,0,0,0
"Jun 30, 09:00 pm",0,0,0,0
"Jun 30, 10:00 pm",0,0,0,0
"Jun 30, 11:00 pm",0,0,0,0
"Jul 1, 12:00 am",0,0,0,0
"Jul 1, 01:00 am",0,0,0,0
"Jul 1, 02:00 am",0,0,0,0
"Jul 1, 03:00 am",0,0,0,0
"Jul 1, 04:00 am",0,0,0,0
"Jul 1, 05:00 am",18,21,30,15.496
"Jul 1, 06:00 am",77,92,68,61.3319
"Jul 1, 07:00 am",174,181,26,156.958
"Jul 1, 08:00 am",247,468,368,396.353
"Jul 1, 09:00 am",179,772,774,690.05
"Jul 1, 10:00 am",315,867,627,818.281
"Jul 1, 11:00 am",248,943,709,895.785
"Jul 1, 12:00 pm",146,1041,877,965.484
"Jul 1, 01:00 pm",135,1015,916,966.063
"Jul 1, 02:00 pm",128,928,896,860.849
"Jul 1, 03:00 pm",116,779,865,697.347
"Jul 1, 04:00 pm",98,596,812,486.79
"Jul 1, 05:00 pm",151,284,317,212.674
"Jul 1, 06:00 pm",77,138,248,63.4458
"Jul 1, 07:00 pm",15,13,0,13.3591
"Jul 1, 08:00 pm",0,0,0,0
"Jul 1, 09:00 pm",0,0,0,0
"Jul 1, 10:00 pm",0,0,0,0
"Jul 1, 11:00 pm",0,0,0,0
"Jul 2, 12:00 am",0,0,0,0
"Jul 2, 01:00 am",0,0,0,0
"Jul 2, 02:00 am",0,0,0,0
"Jul 2, 03:00 am",0,0,0,0
"Jul 2, 04:00 am",0,0,0,0
"Jul 2, 05:00 am",10,7,0,8.88927
"Jul 2, 06:00 am",71,87,70,57.2419
"Jul 2, 07:00 am",187,200,35,168.409
"Jul 2, 08:00 am",239,264,45,234.277
"Jul 2, 09:00 am",332,456,168,417.938
"Jul 2, 10:00 am",460,652,215,606.721
"Jul 2, 11:00 am",528,768,250,729.359
"Jul 2, 12:00 pm",502,933,430,892.649
"Jul 2, 01:00 pm",333,914,590,870.678
"Jul 2, 02:00 pm",247,827,641,773.797
"Jul 2, 03:00 pm",156,810,796,691.934
"Jul 2, 04:00 pm",221,523,499,445.188
"Jul 2, 05:00 pm",183,343,379,255.389
"Jul 2, 06:00 pm",40,41,5,35.7559
"Jul 2, 07:00 pm",12,12,4,10.8715
"Jul 2, 08:00 pm",0,0,0,0
"Jul 2, 09:00 pm",0,0,0,0
"Jul 2, 10:00 pm",0,0,0,0
"Jul 2, 11:00 pm",0,0,0,0
"Jul 3, 12:00 am",0,0,0,0
"Jul 3, 01:00 am",0,0,0,0
"Jul 3, 02:00 am",0,0,0,0
"Jul 3, 03:00 am",0,0,0,0
"Jul 3, 04:00 am",0,0,0,0
"Jul 3, 05:00 am",13,13,0,11.5723
"Jul 3, 06:00 am",54,54,0,47.4814
"Jul 3, 07:00 am",186,205,45,169.978
"Jul 3, 08:00 am",175,254,124,217.103
"Jul 3, 09:00 am",419,564,199,516.663
"Jul 3, 10:00 am",249,844,684,804.894
"Jul 3, 11:00 am",345,872,560,852.217
"Jul 3, 12:00 pm",281,902,650,897.41
"Jul 3, 01:00 pm",319,867,585,853.547
"Jul 3, 02:00 pm",250,823,661,793.63
"Jul 3, 03:00 pm",179,543,473,497.761
"Jul 3, 04:00 pm",170,257,145,225.093
"Jul 3, 05:00 pm",137,178,98,145.55
"Jul 3, 06:00 pm",81,97,73,66.0619
"Jul 3, 07:00 pm",13,13,1,11.5692
"Jul 3, 08:00 pm",0,0,0,0
"Jul 3, 09:00 pm",0,0,0,0
"Jul 3, 10:00 pm",0,0,0,0
"Jul 3, 11:00 pm",0,0,0,0
"Jul 4, 12:00 am",0,0,0,0
"Jul 4, 01:00 am",0,0,0,0
"Jul 4, 02:00 am",0,0,0,0
"Jul 4, 03:00 am",0,0,0,0
"Jul 4, 04:00 am",0,0,0,0
"Jul 4, 05:00 am",13,27,136,10.0604
"Jul 4, 06:00 am",33,155,582,26.6563
"Jul 4, 07:00 am",51,341,766,233.591
"Jul 4, 08:00 am",68,560,859,469.261
"Jul 4, 09:00 am",82,766,911,685.884
"Jul 4, 10:00 am",91,913,933,849.473
"Jul 4, 11:00 am",96,1009,953,960.677
"Jul 4, 12:00 pm",98,1068,960,1000.92
"Jul 4, 01:00 pm",96,1032,955,967.232
"Jul 4, 02:00 pm",91,936,941,865.124
"Jul 4, 03:00 pm",82,776,917,702.569
"Jul 4, 04:00 pm",69,590,876,493.104
"Jul 4, 05:00 pm",53,381,794,257.412
"Jul 4, 06:00 pm",34,160,616,36.6103
"Jul 4, 07:00 pm",16,34,174,12.5595
"Jul 4, 08:00 pm",0,0,0,0
"Jul 4, 09:00 pm",0,0,0,0
"Jul 4, 10:00 pm",0,0,0,0
"Jul 4, 11:00 pm",0,0,0,0
"Jul 5, 12:00 am",0,0,0,0
"Jul 5, 01:00 am",0,0,0,0
"Jul 5, 02:00 am",0,0,0,0
"Jul 5, 03:00 am",0,0,0,0
"Jul 5, 04:00 am",0,0,0,0
"Jul 5, 05:00 am",15,14,22,13.1034
"Jul 5, 06:00 am",70,104,183,54.5037
"Jul 5, 07:00 am",177,291,284,220.108
"Jul 5, 08:00 am",74,570,843,467.323
"Jul 5, 09:00 am",82,774,932,699.703
"Jul 5, 10:00 am",91,921,953,865.885
"Jul 5, 11:00 am",97,1014,972,979.298
"Jul 5, 12:00 pm",99,1061,982,1023.22
"Jul 5, 01:00 pm",97,1026,976,988.132
"Jul 5, 02:00 pm",91,942,959,880.785
"Jul 5, 03:00 pm",101,786,894,706.231
"Jul 5, 04:00 pm",91,594,832,493.029
"Jul 5, 05:00 pm",68,379,735,254.224
"Jul 5, 06:00 pm",59,159,488,53.3014
"Jul 5, 07:00 pm",16,35,178,12.5675
"Jul 5, 08:00 pm",0,0,0,0
"Jul 5, 09:00 pm",0,0,0,0
"Jul 5, 10:00 pm",0,0,0,0
"Jul 5, 11:00 pm",0,0,0,0
"Jul 6, 12:00 am",0,0,0,0
"Jul 6, 01:00 am",0,0,0,0
"Jul 6, 02:00 am",0,0,0,0
"Jul 6, 03:00 am",0,0,0,0
"Jul 6, 04:00 am",0,0,0,0
"Jul 6, 05:00 am",16,20,33,13.8939
"Jul 6, 06:00 am",60,124,312,45.0154
"Jul 6, 07:00 am",129,341,523,237.487
"Jul 6, 08:00 am",137,584,717,465.432
"Jul 6, 09:00 am",147,775,826,693.668
"Jul 6, 10:00 am",328,820,563,779.38
"Jul 6, 11:00 am",287,923,678,905.779
"Jul 6, 12:00 pm",181,1064,892,1025.78
"Jul 6, 01:00 pm",167,1003,889,983.946
"Jul 6, 02:00 pm",158,922,869,876.993
"Jul 6, 03:00 pm",144,787,828,705.703
"Jul 6, 04:00 pm",121,593,762,486.98
"Jul 6, 05:00 pm",92,375,645,250.963
"Jul 6, 06:00 pm",58,157,414,51.4567
"Jul 6, 07:00 pm",18,19,26,15.5663
"Jul 6, 08:00 pm",0,0,0,0
"Jul 6, 09:00 pm",0,0,0,0
"Jul 6, 10:00 pm",0,0,0,0
"Jul 6, 11:00 pm",0,0,0,0
"Jul 7, 12:00 am",0,0,0,0
"Jul 7, 01:00 am",0,0,0,0
"Jul 7, 02:00 am",0,0,0,0
"Jul 7, 03:00 am",0,0,0,0
"Jul 7, 04:00 am",0,0,0,0
"Jul 7, 05:00 am",14,23,86,10.956
"Jul 7, 06:00 am",38,140,495,30.7887
"Jul 7, 07:00 am",166,265,255,203.997
"Jul 7, 08:00 am",265,349,137,301.998
"Jul 7, 09:00 am",401,447,57,403.305
"Jul 7, 10:00 am",417,641,260,610.472
"Jul 7, 11:00 am",471,723,272,704.271
"Jul 7, 12:00 pm",386,853,487,845.823
"Jul 7, 01:00 pm",207,992,785,927.193
"Jul 7, 02:00 pm",331,764,489,729.126
"Jul 7, 03:00 pm",157,802,784,689.002
"Jul 7, 04:00 pm",250,564,515,481.308
"Jul 7, 05:00 pm",153,322,402,239.287
"Jul 7, 06:00 pm",74,153,356,62.4489
"Jul 7, 07:00 pm",19,17,22,16.3326
"Jul 7, 08:00 pm",0,0,0,0
"Jul 7, 09:00 pm",0,0,0,0
"Jul 7, 10:00 pm",0,0,0,0
"Jul 7, 11:00 pm",0,0,0,0
"Jul 8, 12:00 am",0,0,0,0
"Jul 8, 01:00 am",0,0,0,0
"Jul 8, 02:00 am",0,0,0,0
"Jul 8, 03:00 am",0,0,0,0
"Jul 8, 04:00 am",0,0,0,0
"Jul 8, 05:00 am",15,18,29,13.0828
"Jul 8, 06:00 am",54,130,371,41.2809
"Jul 8, 07:00 am",89,318,613,225.431
"Jul 8, 08:00 am",119,535,738,458.316
"Jul 8, 09:00 am",141,743,804,673.734
"Jul 8, 10:00 am",157,899,848,849.74
"Jul 8, 11:00 am",166,994,866,958.079
"Jul 8, 12:00 pm",169,1043,877,1001.85
"Jul 8, 01:00 pm",166,1018,876,972.916
"Jul 8, 02:00 pm",158,943,857,869.008
"Jul 8, 03:00 pm",143,787,823,703.204
"Jul 8, 04:00 pm",121,589,756,485.7
"Jul 8, 05:00 pm",92,373,636,249.848
"Jul 8, 06:00 pm",58,152,411,52.0825
"Jul 8, 07:00 pm",20,25,49,16.4543
"Jul 8, 08:00 pm",0,0,0,0
"Jul 8, 09:00 pm",0,0,0,0
"Jul 8, 10:00 pm",0,0,0,0
"Jul 8, 11:00 pm",0,0,0,0
"Jul 9, 12:00 am",0,0,0,0
"Jul 9, 01:00 am",0,0,0,0
"Jul 9, 02:00 am",0,0,0,0
"Jul 9, 03:00 am",0,0,0,0
"Jul 9, 04:00 am",0,0,0,0
"Jul 9, 05:00 am",12,14,14,10.6415
"Jul 9, 06:00 am",53,101,253,39.6345
"Jul 9, 07:00 am",111,313,508,218.009
"Jul 9, 08:00 am",96,529,790,462.239
"Jul 9, 09:00 am",114,740,850,676.358
"Jul 9, 10:00 am",127,889,884,845.403
"Jul 9, 11:00 am",134,982,905,955.497
"Jul 9, 12:00 pm",137,1035,909,992.8
"Jul 9, 01:00 pm",135,1005,910,967.012
"Jul 9, 02:00 pm",128,930,893,865.368
"Jul 9, 03:00 pm",116,788,860,700.976
"Jul 9, 04:00 pm",98,601,804,489.493
"Jul 9, 05:00 pm",75,385,703,254.987
"Jul 9, 06:00 pm",48,158,492,45.5624
"Jul 9, 07:00 pm",18,27,84,14.0758
"Jul 9, 08:00 pm",0,0,0,0
"Jul 9, 09:00 pm",0,0,0,0
"Jul 9, 10:00 pm",0,0,0,0
"Jul 9, 11:00 pm",0,0,0,0
"Jul 10, 12:00 am",0,0,0,0
"Jul 10, 01:00 am",0,0,0,0
"Jul 10, 02:00 am",0,0,0,0
"Jul 10, 03:00 am",0,0,0,0
"Jul 10, 04:00 am",0,0,0,0
"Jul 10, 05:00 am",14,17,31,12.2702
"Jul 10, 06:00 am",73,85,66,58.257
"Jul 10, 07:00 am",138,271,332,198.834
"Jul 10, 08:00 am",118,542,729,453.157
"Jul 10, 09:00 am",141,735,798,670.161
"Jul 10, 10:00 am",157,883,841,844.939
"Jul 10, 11:00 am",166,977,864,957.605
"Jul 10, 12:00 pm",169,1027,874,1000.74
"Jul 10, 01:00 pm",166,990,870,969.344
"Jul 10, 02:00 pm",158,908,850,865.202
"Jul 10, 03:00 pm",143,773,812,697.601
"Jul 10, 04:00 pm",152,612,713,495.134
"Jul 10, 05:00 pm",121,351,548,251.666
"Jul 10, 06:00 pm",75,145,315,63.222
"Jul 10, 07:00 pm",20,27,40,17.0972
"Jul 10, 08:00 pm",0,0,0,0
"Jul 10, 09:00 pm",0,0,0,0
"Jul 10, 10:00 pm",0,0,0,0
"Jul 10, 11:00 pm",0,0,0,0
"Jul 11, 12:00 am",0,0,0,0
"Jul 11, 01:00 am",0,0,0,0
"Jul 11, 02:00 am",0,0,0,0
"Jul 11, 03:00 am",0,0,0,0
"Jul 11, 04:00 am",0,0,0,0
"Jul 11, 05:00 am",11,12,3,9.78853
"Jul 11, 06:00 am",76,101,167,58.6026
"Jul 11, 07:00 am",101,314,553,221.474
"Jul 11, 08:00 am",137,525,685,450.434
"Jul 11, 09:00 am",164,726,761,668.235
"Jul 11, 10:00 am",183,871,806,841.445
"Jul 11, 11:00 am",193,968,832,954.698
"Jul 11, 12:00 pm",197,1031,838,994.007
"Jul 11, 01:00 pm",194,1004,833,962.832
"Jul 11, 02:00 pm",184,922,811,858.438
"Jul 11, 03:00 pm",166,772,769,691.813
"Jul 11, 04:00 pm",172,579,668,492.166
"Jul 11, 05:00 pm",151,368,498,264.68
"Jul 11, 06:00 pm",93,128,157,76.4821
"Jul 11, 07:00 pm",21,19,10,18.2625
"Jul 11, 08:00 pm",0,0,0,0
"Jul 11, 09:00 pm",0,0,0,0
"Jul 11, 10:00 pm",0,0,0,0
"Jul 11, 11:00 pm",0,0,0,0
"Jul 12, 12:00 am",0,0,0,0
"Jul 12, 01:00 am",0,0,0,0
"Jul 12, 02:00 am",0,0,0,0
"Jul 12, 03:00 am",0,0,0,0
"Jul 12, 04:00 am",0,0,0,0
"Jul 12, 05:00 am",15,18,34,13.0448
"Jul 12, 06:00 am",59,131,368,44.6383
"Jul 12, 07:00 am",118,303,465,213.494
"Jul 12, 08:00 am",157,515,608,433.131
"Jul 12, 09:00 am",184,722,725,663.606
"Jul 12, 10:00 am",205,866,772,838.624
"Jul 12, 11:00 am",217,955,798,946.565
"Jul 12, 12:00 pm",221,1002,807,987.636
"Jul 12, 01:00 pm",217,970,803,957.441
"Jul 12, 02:00 pm",206,893,777,855.874
"Jul 12, 03:00 pm",186,753,733,687.122
"Jul 12, 04:00 pm",157,574,657,473.91
"Jul 12, 05:00 pm",116,362,524,242.042
"Jul 12, 06:00 pm",69,146,286,58.4242
"Jul 12, 07:00 pm",19,21,15,16.7412
"Jul 12, 08:00 pm",0,0,0,0
"Jul 12, 09:00 pm",0,0,0,0
"Jul 12, 10:00 pm",0,0,0,0
"Jul 12, 11:00 pm",0,0,0,0
"Jul 13, 12:00 am",0,0,0,0
"Jul 13, 01:00 am",0,0,0,0
"Jul 13, 02:00 am",0,0,0,0
"Jul 13, 03:00 am",0,0,0,0
"Jul 13, 04:00 am",0,0,0,0
"Jul 13, 05:00 am",11,9,1,9.7878
"Jul 13, 06:00 am",69,104,176,53.7091
"Jul 13, 07:00 am",127,315,428,212.397
"Jul 13, 08:00 am",178,521,577,435.152
"Jul 13, 09:00 am",216,722,667,655.152
"Jul 13, 10:00 am",242,860,720,831.702
"Jul 13, 11:00 am",257,945,748,946.442
"Jul 13, 12:00 pm",262,989,759,990.227
"Jul 13, 01:00 pm",258,959,753,958.355
"Jul 13, 02:00 pm",244,879,725,849.612
"Jul 13, 03:00 pm",220,735,677,681.283
"Jul 13, 04:00 pm",183,549,593,464.167
"Jul 13, 05:00 pm",134,329,451,238.703
"Jul 13, 06:00 pm",76,121,212,64.3523
"Jul 13, 07:00 pm",20,21,7,17.4836
"Jul 13, 08:00 pm",0,0,0,0
"Jul 13, 09:00 pm",0,0,0,0
"Jul 13, 10:00 pm",0,0,0,0
"Jul 13, 11:00 pm",0,0,0,0
"Jul 14, 12:00 am",0,0,0,0
"Jul 14, 01:00 am",0,0,0,0
"Jul 14, 02:00 am",0,0,0,0
"Jul 14, 03:00 am",0,0,0,0
"Jul 14, 04:00 am",0,0,0,0
"Jul 14, 05:00 am",14,15,12,12.573
"Jul 14, 06:00 am",58,114,288,43.7001
"Jul 14, 07:00 am",100,311,547,218.95
"Jul 14, 08:00 am",137,527,683,449.858
"Jul 14, 09:00 am",164,735,762,669.982
"Jul 14, 10:00 am",182,880,804,840.671
"Jul 14, 11:00 am",193,972,827,952.603
"Jul 14, 12:00 pm",197,1029,835,994.129
"Jul 14, 01:00 pm",194,1001,830,963.226
"Jul 14, 02:00 pm",184,921,811,861.527
"Jul 14, 03:00 pm",167,770,772,697.679
"Jul 14, 04:00 pm",145,582,701,485.974
"Jul 14, 05:00 pm",215,296,198,237.268
"Jul 14, 06:00 pm",71,87,73,59.762
"Jul 14, 07:00 pm",16,17,7,14.3581
"Jul 14, 08:00 pm",0,0,0,0
"Jul 14, 09:00 pm",0,0,0,0
"Jul 14, 10:00 pm",0,0,0,0
"Jul 14, 11:00 pm",0,0,0,0
"Jul 15, 12:00 am",0,0,0,0
"Jul 15, 01:00 am",0,0,0,0
"Jul 15, 02:00 am",0,0,0,0
"Jul 15, 03:00 am",0,0,0,0
"Jul 15, 04:00 am",0,0,0,0
"Jul 15, 05:00 am",12,14,17,10.6022
"Jul 15, 06:00 am",66,104,198,51.6321
"Jul 15, 07:00 am",100,306,544,218.228
"Jul 15, 08:00 am",136,519,679,447.268
"Jul 15, 09:00 am",164,722,756,666.461
"Jul 15, 10:00 am",182,862,802,839.721
"Jul 15, 11:00 am",193,965,829,955.329
"Jul 15, 12:00 pm",197,1024,836,996.138
"Jul 15, 01:00 pm",194,994,829,963.41
"Jul 15, 02:00 pm",184,916,811,862.591
"Jul 15, 03:00 pm",166,767,772,697.696
"Jul 15, 04:00 pm",140,575,698,480.638
"Jul 15, 05:00 pm",105,349,572,248.561
"Jul 15, 06:00 pm",64,124,332,56.23
"Jul 15, 07:00 pm",19,22,25,16.2772
"Jul 15, 08:00 pm",0,0,0,0
"Jul 15, 09:00 pm",0,0,0,0
"Jul 15, 10:00 pm",0,0,0,0
"Jul 15, 11:00 pm",0,0,0,0
"Jul 16, 12:00 am",0,0,0,0
"Jul 16, 01:00 am",0,0,0,0
"Jul 16, 02:00 am",0,0,0,0
"Jul 16, 03:00 am",0,0,0,0
"Jul 16, 04:00 am",0,0,0,0
"Jul 16, 05:00 am",10,9,8,9.06084
"Jul 16, 06:00 am",70,111,202,54.4549
"Jul 16, 07:00 am",126,334,493,226.811
"Jul 16, 08:00 am",158,539,653,455.624
"Jul 16, 09:00 am",163,733,755,665.335
"Jul 16, 10:00 am",191,881,786,835.727
"Jul 16, 11:00 am",202,975,794,932.658
"Jul 16, 12:00 pm",228,1024,772,973.257
"Jul 16, 01:00 pm",202,988,805,949.841
"Jul 16, 02:00 pm",192,908,791,854.445
"Jul 16, 03:00 pm",172,762,757,694.11
"Jul 16, 04:00 pm",140,572,700,482.388
"Jul 16, 05:00 pm",105,349,571,248.795
"Jul 16, 06:00 pm",63,123,328,55.5538
"Jul 16, 07:00 pm",13,11,8,11.7876
"Jul 16, 08:00 pm",0,0,0,0
"Jul 16, 09:00 pm",0,0,0,0
"Jul 16, 10:00 pm",0,0,0,0
"Jul 16, 11:00 pm",0,0,0,0
"Jul 17, 12:00 am",0,0,0,0
"Jul 17, 01:00 am",0,0,0,0
"Jul 17, 02:00 am",0,0,0,0
"Jul 17, 03:00 am",0,0,0,0
"Jul 17, 04:00 am",0,0,0,0
"Jul 17, 05:00 am",9,9,3,8.14795
"Jul 17, 06:00 am",70,113,227,54.5149
"Jul 17, 07:00 am",140,292,390,214.574
"Jul 17, 08:00 am",179,517,581,438.723
"Jul 17, 09:00 am",278,707,574,649.77
"Jul 17, 10:00 am",299,839,629,811.932
"Jul 17, 11:00 am",201,942,779,918.976
"Jul 17, 12:00 pm",197,998,833,995.509
"Jul 17, 01:00 pm",202,972,806,951.899
"Jul 17, 02:00 pm",192,896,798,861.354
"Jul 17, 03:00 pm",174,751,757,696.982
"Jul 17, 04:00 pm",140,565,694,480.186
"Jul 17, 05:00 pm",105,347,569,248.748
"Jul 17, 06:00 pm",62,126,290,54.0425
"Jul 17, 07:00 pm",16,21,47,13.3117
"Jul 17, 08:00 pm",0,0,0,0
"Jul 17, 09:00 pm",0,0,0,0
"Jul 17, 10:00 pm",0,0,0,0
"Jul 17, 11:00 pm",0,0,0,0
"Jul 18, 12:00 am",0,0,0,0
"Jul 18, 01:00 am",0,0,0,0
"Jul 18, 02:00 am",0,0,0,0
"Jul 18, 03:00 am",0,0,0,0
"Jul 18, 04:00 am",0,0,0,0
"Jul 18, 05:00 am",13,16,31,10.867
"Jul 18, 06:00 am",62,85,124,48.5269
"Jul 18, 07:00 am",132,295,420,214.9
"Jul 18, 08:00 am",176,513,584,437.701
"Jul 18, 09:00 am",261,682,569,631.53
"Jul 18, 10:00 am",247,774,613,752.612
"Jul 18, 11:00 am",133,977,897,954.842
"Jul 18, 12:00 pm",136,1028,905,997.161
"Jul 18, 01:00 pm",144,991,882,959.062
"Jul 18, 02:00 pm",132,908,883,870.223
"Jul 18, 03:00 pm",123,752,827,696.392
"Jul 18, 04:00 pm",142,545,663,467.469
"Jul 18, 05:00 pm",164,260,237,207.994
"Jul 18, 06:00 pm",83,112,137,69.7765
"Jul 18, 07:00 pm",20,22,14,17.4091
"Jul 18, 08:00 pm",0,0,0,0
"Jul 18, 09:00 pm",0,0,0,0
"Jul 18, 10:00 pm",0,0,0,0
"Jul 18, 11:00 pm",0,0,0,0
"Jul 19, 12:00 am",0,0,0,0
"Jul 19, 01:00 am",0,0,0,0
"Jul 19, 02:00 am",0,0,0,0
"Jul 19, 03:00 am",0,0,0,0
"Jul 19, 04:00 am",0,0,0,0
"Jul 19, 05:00 am",10,16,46,7.80792
"Jul 19, 06:00 am",36,123,469,27.1104
"Jul 19, 07:00 am",85,307,597,217.35
"Jul 19, 08:00 am",116,522,726,451.527
"Jul 19, 09:00 am",139,723,800,673.431
"Jul 19, 10:00 am",155,866,839,847.544
"Jul 19, 11:00 am",164,981,861,961.092
"Jul 19, 12:00 pm",167,1044,877,1011.29
"Jul 19, 01:00 pm",165,1009,868,976.601
"Jul 19, 02:00 pm",157,925,852,875.654
"Jul 19, 03:00 pm",142,767,815,707.395
"Jul 19, 04:00 pm",125,565,740,490.386
"Jul 19, 05:00 pm",98,341,591,249.26
"Jul 19, 06:00 pm",78,125,226,66.79
"Jul 19, 07:00 pm",15,14,1,13.3662
"Jul 19, 08:00 pm",0,0,0,0
"Jul 19, 09:00 pm",0,0,0,0
"Jul 19, 10:00 pm",0,0,0,0
"Jul 19, 11:00 pm",0,0,0,0
"Jul 20, 12:00 am",0,0,0,0
"Jul 20, 01:00 am",0,0,0,0
"Jul 20, 02:00 am",0,0,0,0
"Jul 20, 03:00 am",0,0,0,0
"Jul 20, 04:00 am",0,0,0,0
"Jul 20, 05:00 am",11,12,8,9.97261
"Jul 20, 06:00 am",56,105,269,42.3515
"Jul 20, 07:00 am",98,298,538,215.349
"Jul 20, 08:00 am",134,508,679,446.911
"Jul 20, 09:00 am",162,716,757,668.07
"Jul 20, 10:00 am",181,864,803,843.623
"Jul 20, 11:00 am",192,968,826,956.743
"Jul 20, 12:00 pm",195,1021,837,1001.02
"Jul 20, 01:00 pm",193,987,831,970.211
"Jul 20, 02:00 pm",183,904,808,864.672
"Jul 20, 03:00 pm",165,754,769,699.569
"Jul 20, 04:00 pm",139,559,695,481.969
"Jul 20, 05:00 pm",103,339,569,248.321
"Jul 20, 06:00 pm",62,130,323,55.2905
"Jul 20, 07:00 pm",18,20,21,15.4482
"Jul 20, 08:00 pm",0,0,0,0
"Jul 20, 09:00 pm",0,0,0,0
"Jul 20, 10:00 pm",0,0,0,0
"Jul 20, 11:00 pm",0,0,0,0
"Jul 21, 12:00 am",0,0,0,0
"Jul 21, 01:00 am",0,0,0,0
"Jul 21, 02:00 am",0,0,0,0
"Jul 21, 03:00 am",0,0,0,0
"Jul 21, 04:00 am",0,0,0,0
"Jul 21, 05:00 am",10,11,7,9.19335
"Jul 21, 06:00 am",55,103,266,41.6172
"Jul 21, 07:00 am",97,304,540,215.065
"Jul 21, 08:00 am",134,524,681,448.25
"Jul 21, 09:00 am",162,731,758,669.429
"Jul 21, 10:00 am",181,868,803,844.547
"Jul 21, 11:00 am",192,962,827,958.789
"Jul 21, 12:00 pm",196,1017,836,1002.25
"Jul 21, 01:00 pm",193,996,834,974.236
"Jul 21, 02:00 pm",183,914,812,869.153
"Jul 21, 03:00 pm",165,752,769,700.546
"Jul 21, 04:00 pm",139,554,698,484.18
"Jul 21, 05:00 pm",103,339,570,249.022
"Jul 21, 06:00 pm",62,118,323,55.4162
"Jul 21, 07:00 pm",17,19,19,14.6632
"Jul 21, 08:00 pm",0,0,0,0
"Jul 21, 09:00 pm",0,0,0,0
"Jul 21, 10:00 pm",0,0,0,0
"Jul 21, 11:00 pm",0,0,0,0
"Jul 22, 12:00 am",0,0,0,0
"Jul 22, 01:00 am",0,0,0,0
"Jul 22, 02:00 am",0,0,0,0
"Jul 22, 03:00 am",0,0,0,0
"Jul 22, 04:00 am",0,0,0,0
"Jul 22, 05:00 am",7,7,0,6.43535
"Jul 22, 06:00 am",59,71,69,48.0971
"Jul 22, 07:00 am",146,245,258,188.485
"Jul 22, 08:00 am",174,500,564,428.062
"Jul 22, 09:00 am",213,697,654,648.78
"Jul 22, 10:00 am",245,824,665,796.701
"Jul 22, 11:00 am",252,927,692,899.436
"Jul 22, 12:00 pm",303,963,647,931.789
"Jul 22, 01:00 pm",320,897,585,871.166
"Jul 22, 02:00 pm",244,856,671,814.137
"Jul 22, 03:00 pm",330,578,320,536.267
"Jul 22, 04:00 pm",255,499,410,440.266
"Jul 22, 05:00 pm",179,204,61,172.399
"Jul 22, 06:00 pm",70,72,11,60.1798
"Jul 22, 07:00 pm",10,10,0,8.8906
"Jul 22, 08:00 pm",0,0,0,0
"Jul 22, 09:00 pm",0,0,0,0
"Jul 22, 10:00 pm",0,0,0,0
"Jul 22, 11:00 pm",0,0,0,0
"Jul 23, 12:00 am",0,0,0,0
"Jul 23, 01:00 am",0,0,0,0
"Jul 23, 02:00 am",0,0,0,0
"Jul 23, 03:00 am",0,0,0,0
"Jul 23, 04:00 am",0,0,0,0
"Jul 23, 05:00 am",6,6,0,5.51601
"Jul 23, 06:00 am",64,67,22,52.8379
"Jul 23, 07:00 am",169,251,223,198.772
"Jul 23, 08:00 am",239,445,364,390.133
"Jul 23, 09:00 am",276,663,535,625.744
"Jul 23, 10:00 am",246,854,697,824.858
"Jul 23, 11:00 am",264,950,728,945.035
"Jul 23, 12:00 pm",260,980,751,992.399
"Jul 23, 01:00 pm",256,953,743,959.024
"Jul 23, 02:00 pm",242,874,717,851.97
"Jul 23, 03:00 pm",217,720,668,681.539
"Jul 23, 04:00 pm",181,532,583,464.095
"Jul 23, 05:00 pm",130,328,439,236.02
"Jul 23, 06:00 pm",72,113,195,61.8769
"Jul 23, 07:00 pm",17,17,4,15.0678
"Jul 23, 08:00 pm",0,0,0,0
"Jul 23, 09:00 pm",0,0,0,0
"Jul 23, 10:00 pm",0,0,0,0
"Jul 23, 11:00 pm",0,0,0,0
"Jul 24, 12:00 am",0,0,0,0
"Jul 24, 01:00 am",0,0,0,0
"Jul 24, 02:00 am",0,0,0,0
"Jul 24, 03:00 am",0,0,0,0
"Jul 24, 04:00 am",0,0,0,0
"Jul 24, 05:00 am",6,6,0,5.51601
