Manufacturer,Model Number,STC,PTC,Technology,A_c,N_s,BIPV,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,T_NOCT,gamma_pmp,alpha_sc,beta_oc,Width,Length,Bifacial,a_py,Il_py,Io_py,Rs_py,Rsh_py,Adj_py,solve_return_code,solve_pass,d_Isc,d_Imp,d_Vmp,d_Pmp,Error
KOSOL ENERGIE PVT LTD,KE-620-66XU,620.0,581.0,Mono-c-Si,3.12,66.0,N,17.51,44.6,16.68,37.2,43.1,-0.359,0.005253,-0.114622,,,0,1.642777352341794,17.51305561635254,2.8264186528088347e-11,0.13791454165825592,790.3098485829132,10.015496323381676,2.0,first_pass,-1.69621281295101e-13,0.0021880326177816803,-0.002237136465324428,-5.399877509914469e-05,
KOSOL ENERGIE PVT LTD,KE620N,620.0,589.7,Mono-c-Si,2.77,26.0,N,13.69,56.5,13.05,47.5,43.1,-0.293,0.0060236,-0.12712500000000002,,,0,1.9474004273564471,13.694627367677361,3.4160408781362563e-12,0.2150502559771934,636.223057452169,7.788493060965829,4.0,first_pass,-4.178136612760268e-14,0.0020717941430951226,-0.0021193924408336035,-5.198924258427134e-05,
KOSOL ENERGIE PVT LTD,KE620R,620.0,590.1,Mono-c-Si,2.68,22.0,N,15.83,49.0,15.06,41.2,43.1,-0.293,0.0066486,-0.11613,,,0,1.6913806628780814,15.837307518314354,4.112553529155163e-12,0.16064957955154444,348.0090968705184,2.6748260338784022,4.0,first_pass,-6.598217445150646e-14,0.002194627556815454,-0.0022479963510784163,-5.8302309002687666e-05,
KOSOL ENERGIE PVT LTD,KE-625-66XU,625.0,585.8,Mono-c-Si,3.12,66.0,N,17.58,44.8,16.75,37.3,43.1,-0.359,0.005273999999999999,-0.11513599999999999,,,0,1.6485284616731741,17.58275601062467,2.764327347629802e-11,0.14256618953420713,909.3989503835128,9.780905686350842,2.0,first_pass,-3.330436672241191e-11,0.00044782594539677617,-0.0004498263670223243,-2.201865543644538e-06,
KOSOL ENERGIE PVT LTD,KE625N,625.0,594.5,Mono-c-Si,2.77,26.0,N,13.73,56.7,13.09,47.8,43.1,-0.293,0.0060412,-0.12757500000000002,,,0,1.9566483177646796,13.7344375974963,3.5474634925366655e-12,0.20377405279117067,630.4802892017698,8.099721782690692,4.0,first_pass,1.0350221933868902e-13,-0.0031943352537732077,0.0030889331947995926,-0.00011526914717431693,
KOSOL ENERGIE PVT LTD,KE625R,625.0,595.0,Mono-c-Si,2.68,22.0,N,15.87,49.2,15.1,41.4,43.1,-0.293,0.006665400000000001,-0.116604,,,0,1.6987958951781175,15.877142104862942,4.1594167966110695e-12,0.15851342677774893,352.2222279040189,2.749225516466034,4.0,first_pass,-2.1255838928929275e-13,0.0029194914460306753,-0.0030152708880458825,-0.0001045824995804155,
KOSOL ENERGIE PVT LTD,KE-630-66XU,630.0,590.6,Mono-c-Si,3.12,66.0,N,17.65,44.9,16.82,37.5,43.1,-0.359,0.005294999999999999,-0.11539300000000001,,,0,1.6546078677647462,17.652671754253287,2.8867018755256677e-11,0.1343686473346302,887.6589995308891,10.131102456208191,4.0,bootstrapping,1.2882361214914e-14,0.0034374816737712654,-0.0035615212527964485,-0.00013628224306236057,
KOSOL ENERGIE PVT LTD,KE630N,630.0,599.4,Mono-c-Si,2.77,26.0,N,13.77,56.9,13.13,48.0,43.1,-0.293,0.006058799999999999,-0.128025,,,0,1.9640163365285295,13.774313254979292,3.582744005656822e-12,0.2012007917654354,642.3304516789796,8.161717297960164,4.0,first_pass,1.2355161677092156e-11,-0.00249815112917187,0.002432885906040294,-7.134293980481652e-05,
KOSOL ENERGIE PVT LTD,KE630R,630.0,599.8,Mono-c-Si,2.68,22.0,N,15.91,49.4,15.14,41.6,43.1,-0.293,0.0066822,-0.11707799999999999,,,0,1.7062103750994262,15.916979103172057,4.2064146247823375e-12,0.15638897107933605,356.5140780790337,2.822917471469596,4.0,first_pass,-2.844850551094807e-13,0.0036254021082368403,-0.0037751677852349863,-0.00016345217824576975,
KOSOL ENERGIE PVT LTD,KE-635-66XU,635.0,595.5,Mono-c-Si,3.12,66.0,N,17.72,45.1,16.89,37.6,43.1,-0.359,0.0053159999999999995,-0.11590700000000001,,,0,1.6603604751518073,17.722371497658333,2.8236611309377384e-11,0.13899537035643653,1038.5833101657759,9.89776943059728,2.0,first_pass,-9.486667784413279e-12,0.0017536303059702972,-0.0017849493074396483,-3.4449142669505084e-05,
KOSOL ENERGIE PVT LTD,KE635N,635.0,604.3,Mono-c-Si,2.77,26.0,N,13.81,57.1,13.17,48.2,43.1,-0.293,0.0060764,-0.128475,,,0,1.9713837437927155,13.814191036812618,3.6181248715152003e-12,0.19864354714129037,654.5557859734351,8.223200231477934,4.0,first_pass,1.935855932872829e-13,-0.0018172316984772785,0.0017822829931214694,-3.818752650657228e-05,
KOSOL ENERGIE PVT LTD,KE635R,635.0,604.7,Mono-c-Si,2.68,22.0,N,15.95,49.6,15.18,41.8,43.1,-0.293,0.006699000000000001,-0.117552,,,0,1.7136241082886654,15.956818493304853,4.253545014748164e-12,0.15427611513801762,360.88677191455844,2.895911235303039,4.0,first_pass,-5.659840412433902e-13,-0.003566200416369426,0.003435984714684945,-0.00014246911180478586,
KOSOL ENERGIE PVT LTD,KE-640-66XU,640.0,600.3,Mono-c-Si,3.12,66.0,N,17.79,45.3,16.69,37.7,43.1,-0.359,0.005337,-0.116421,,,0,1.6789506063686925,17.811709603990696,3.337334676672715e-11,0.14275711129216478,116.98274298327979,11.432628830222919,4.0,bootstrapping,1.004505329081873e-13,1.779891264032587e-05,-1.7802146939041253e-05,-3.5511576088080367e-09,
KOSOL ENERGIE PVT LTD,KE640N,640.0,609.1,Mono-c-Si,2.77,26.0,N,13.85,57.3,13.21,48.5,43.1,-0.293,0.0060940000000000005,-0.12892499999999998,,,0,1.980623620977026,13.85400216402484,3.754366508030777e-12,0.18752669757940515,648.9601010315081,8.528633118117629,4.0,first_pass,2.029022758073066e-13,0.0009177733464707135,-0.0009271431536706366,-1.022071447469807e-05,
KOSOL ENERGIE PVT LTD,KE640R,640.0,609.6,Mono-c-Si,2.68,22.0,N,15.99,49.9,15.22,42.1,43.1,-0.293,0.006715800000000001,-0.118263,,,0,1.724792245056884,15.996633048789517,4.322310675777407e-12,0.1513131186413911,364.76390361614665,3.010762570157835,4.0,first_pass,-4.40367636734371e-13,-0.0023702533406574884,0.002311530552057202,-6.420170161327908e-05,
KOSOL ENERGIE PVT LTD,KE-645-66XU,645.0,605.1,Mono-c-Si,3.12,66.0,N,17.87,45.5,17.03,37.9,43.1,-0.359,0.005361,-0.11693500000000001,,,0,1.674492089727485,17.87255759301031,2.8199011869182357e-11,0.14129671274056269,987.2455662215474,9.811513787120763,4.0,bootstrapping,2.8529066195180293e-13,0.0008950816919688156,-0.0009031184147614813,-8.845087551369586e-06,
KOSOL ENERGIE PVT LTD,KE645N,645.0,614.0,Mono-c-Si,2.77,26.0,N,13.89,57.6,13.25,48.7,43.1,-0.293,0.006111599999999999,-0.12960000000000002,,,0,1.9898608754775595,13.893943341879169,3.704679873974037e-12,0.19258980480740165,678.3769902823667,8.382304212630302,4.0,first_pass,-2.7240029286699304e-14,-0.00017950592002899024,0.00017915466560082484,-3.8341375133566557e-07,
KOSOL ENERGIE PVT LTD,KE645R,645.0,614.5,Mono-c-Si,2.68,22.0,N,16.03,50.1,15.26,42.3,43.1,-0.293,0.006732600000000002,-0.118737,,,0,1.732204138533144,16.036477438590495,4.369739111717279e-12,0.14922562392070376,369.2951642484751,3.0820249349207627,4.0,first_pass,-1.3625754021999674e-12,-0.0015978030559063079,0.0015707553905469512,-2.9557423122496518e-05,
KOSOL ENERGIE PVT LTD,KE-650-66XU,650.0,609.9,Mono-c-Si,3.12,66.0,N,17.94,45.6,17.09,38.0,43.1,-0.359,0.005382,-0.117192,,,0,1.6788475475231517,17.94306870610902,2.860620602769216e-11,0.13991500535174475,817.9588373652746,9.906224566606431,4.0,bootstrapping,2.8496962005540246e-13,0.001324559241627552,-0.0013422818791947353,-1.9500569435105226e-05,
KOSOL ENERGIE PVT LTD,KE650G,650.0,612.0,Mono-c-Si,3.08,22.0,N,18.21,45.4,17.29,37.6,43.4,-0.336,0.0085587,-0.131206,,,0,1.663384939563966,18.21757201325662,2.5352607649423487e-11,0.15327374779327774,368.6093636663368,-3.5939721225767802,4.0,bootstrapping,2.7508656162046712e-14,0.003147942891417571,-0.003248607739540251,-0.0001108912797633779,
KOSOL ENERGIE PVT LTD,KE650N,650.0,618.9,Mono-c-Si,2.77,26.0,N,13.93,57.8,13.29,48.9,43.1,-0.293,0.0061292,-0.13005,,,0,1.9972262750636725,13.933827740080345,3.740390434610998e-12,0.19008286835916038,691.7539897412036,8.442025390326942,4.0,first_pass,1.1295359638446231e-11,0.0004506483634267004,-0.0004529171985012681,-2.47294146894594e-06,
KOSOL ENERGIE PVT LTD,KE650R,650.0,619.3,Mono-c-Si,2.68,22.0,N,16.07,50.3,15.3,42.5,43.1,-0.293,0.006749400000000001,-0.119211,,,0,1.7396153223997144,16.076324174200263,4.417294522078489e-12,0.14714942621761973,373.9130523830637,3.1526232223684194,4.0,first_pass,-8.440734801282086e-13,-0.0008446140899036817,0.0008369522305566293,-8.36876099355445e-06,
KOSOL ENERGIE PVT LTD,KE-655-66XU,655.0,614.7,Mono-c-Si,3.12,66.0,N,18.01,45.8,17.16,38.2,43.1,-0.359,0.005403,-0.11770599999999999,,,0,1.6867865679006955,18.012882559953823,2.898938947855766e-11,0.1377645709904055,860.7418593584122,9.989336527721,4.0,bootstrapping,4.613990724438851e-13,0.0021656130272036662,-0.002213710952598569,-5.28919666722339e-05,
KOSOL ENERGIE PVT LTD,KE655G,655.0,616.8,Mono-c-Si,3.08,22.0,N,18.26,45.6,17.33,37.8,43.4,-0.336,0.0085822,-0.13178399999999998,,,0,1.6718366406100362,18.26816597403599,2.5877667135926056e-11,0.1512336510155692,338.17478383716303,-3.4528424793856085,4.0,bootstrapping,-1.9456263301207562e-16,-0.004096183389984221,0.003941621391285791,-0.00017070760277097837,
KOSOL ENERGIE PVT LTD,KE655N,655.0,623.7,Mono-c-Si,2.77,26.0,N,13.97,58.0,13.33,49.1,43.1,-0.293,0.006146800000000001,-0.1305,,,0,2.0045910913767324,13.973714178655404,3.776197321561961e-12,0.18759133844248946,705.5801882681326,8.501260948619159,4.0,first_pass,-1.3213958679346744e-11,0.001067095568488064,-0.0010798398009814927,-1.3896524759678138e-05,
KOSOL ENERGIE PVT LTD,KE-660-66XU,660.0,619.5,Mono-c-Si,3.12,66.0,N,18.08,46.0,17.22,38.3,43.1,-0.359,0.005423999999999999,-0.11822,,,0,1.6930004023734044,18.083299229779808,2.8561087090735332e-11,0.1422598180603076,779.5933491303455,9.823718126897353,4.0,bootstrapping,2.554495454889741e-13,0.00047092146085295076,-0.0004731280775227727,-2.4294228352559974e-06,
KOSOL ENERGIE PVT LTD,KE660G,660.0,621.7,Mono-c-Si,3.08,22.0,N,18.31,45.8,17.37,38.0,43.4,-0.336,0.008605699999999999,-0.13236199999999998,,,0,1.6802910605838406,18.31873742280525,2.6409786161050997e-11,0.14920247450305904,312.66626361326337,-3.312620177644776,4.0,bootstrapping,4.598542555301577e-14,-0.0031293478946855862,0.0030377958318615135,-0.00010105838281503074,
KOSOL ENERGIE PVT LTD,KE665G,665.0,626.5,Mono-c-Si,3.08,22.0,N,18.36,46.0,17.41,38.2,43.4,-0.336,0.0086292,-0.13294,,,0,1.6887481563521691,18.369286727662054,2.6948993299421033e-11,0.1471801498522875,290.9773690610875,-3.1732708961004583,4.0,bootstrapping,0.0,-0.00218888614167422,0.002143434414420736,-5.014346113870899e-05,
KOSOL ENERGIE PVT LTD,KE670G,670.0,631.3,Mono-c-Si,3.08,22.0,N,18.41,46.2,17.45,38.4,43.4,-0.336,0.008652700000000001,-0.133518,,,0,1.6972079554281438,18.419814248464768,2.749533988942367e-11,0.14516662694276364,272.30996246768063,-3.034823261070504,4.0,bootstrapping,8.04715700195442e-14,-0.0012740110159478394,0.001258389261745152,-1.7224955984484953e-05,
KOSOL ENERGIE PVT LTD,KE675G,675.0,636.2,Mono-c-Si,3.08,22.0,N,18.46,46.4,17.49,38.6,43.4,-0.336,0.0086762,-0.134096,,,0,1.7056703901125958,18.470320336262585,2.804884550126744e-11,0.14316183237870644,256.07377370542065,-2.8972221081447405,4.0,bootstrapping,6.774405281353068e-14,-0.00038395482462378933,0.00038251556142853213,-1.5861318905457332e-06,
KOSOL ENERGIE PVT LTD,KE700U,700.0,666.2,Mono-c-Si,3.08,22.0,N,18.1,48.6,17.44,40.1,43.1,-0.291,0.007602000000000001,-0.11421,,,0,1.6583389195391955,18.100281718098707,3.3881825583411003e-12,0.18910792938696847,12149.92486547816,0.7494332954931694,2.0,first_pass,-3.2975463980026744e-13,-0.007275023343561499,0.0004853637717787009,-0.006793190604552584,
KOSOL ENERGIE PVT LTD,KE705U,705.0,671.1,Mono-c-Si,3.08,22.0,N,18.14,48.8,17.48,40.3,43.1,-0.291,0.007618800000000001,-0.11467999999999999,,,0,1.665790796007966,18.140283766092125,3.433348353808374e-12,0.18718984361529073,11966.278048175382,0.8417296499744439,2.0,first_pass,-3.619302579064678e-13,-0.006438943285265856,-0.0003830332905889849,-0.006819510246220308,
KOSOL ENERGIE PVT LTD,KE710U,710.0,675.9,Mono-c-Si,3.08,22.0,N,18.18,49.0,17.52,40.5,43.1,-0.291,0.0076356,-0.11514999999999999,,,0,1.6732429177224937,18.180285785009517,3.4787720349102765e-12,0.1852807865446611,11786.499529400582,0.9333085925375249,2.0,first_pass,-3.9748182743015504e-13,-0.005626598848981744,-0.0012428535918468664,-0.006862459402239242,
KOSOL ENERGIE PVT LTD,KE715U,715.0,680.8,Mono-c-Si,3.08,22.0,N,18.22,49.2,17.56,40.7,43.1,-0.291,0.0076524,-0.11562,,,0,1.6808201880364444,18.220003557703986,3.5328830541991726e-12,0.16645005709509922,852441.6978422353,1.0433465208637744,2.0,bootstrapping,-6.434662535697944e-15,-0.005483999258155443,0.006018831522187088,0.0005018249964289485,
KOSOL ENERGIE PVT LTD,KE720U,720.0,685.7,Mono-c-Si,3.08,22.0,N,18.26,49.4,17.6,40.9,43.1,-0.291,0.007669200000000001,-0.11609,,,0,1.6882707184781267,18.26000347495252,3.578776517898373e-12,0.1644568187721056,864183.487375023,1.133157908322184,2.0,bootstrapping,-9.533569017591705e-15,-0.004663719921961543,0.005168933886874235,0.0004811075049691868,
KOSOL ENERGIE PVT LTD,KE725U,725.0,690.6,Mono-c-Si,3.08,22.0,N,18.3,49.6,17.64,41.1,43.1,-0.291,0.007686000000000002,-0.11656000000000001,,,0,1.695721520685675,18.300003481374315,3.624924189874627e-12,0.16247101012944504,854040.3574110665,1.2222843166213078,2.0,bootstrapping,-6.406532863410739e-15,-0.003866451550478277,0.004327307761393937,0.00044412488511229927,
KOSOL ENERGIE PVT LTD,KE730U,730.0,695.4,Mono-c-Si,3.08,22.0,N,18.34,49.7,17.68,41.3,43.1,-0.291,0.007702800000000001,-0.11679500000000001,,,0,1.701101679942326,18.340003328401924,3.7574556980109125e-12,0.1552261588924274,855323.8565942126,1.505637305147768,2.0,bootstrapping,-6.586273995595258e-15,-0.009063031725210096,0.009555226936639865,0.0004055958865613953,
KOSOL ENERGIE PVT LTD,KE735U,735.0,700.3,Mono-c-Si,3.08,22.0,N,18.38,49.9,17.72,41.5,43.1,-0.291,0.0077196,-0.117265,,,0,1.7085525212205224,18.38000329055536,3.804834220834616e-12,0.15326772450181528,856109.0902663688,1.5927424798767993,2.0,bootstrapping,-6.378648063134741e-15,-0.008203874725997961,0.008732918250181769,0.00045739975686688724,
KOSOL ENERGIE PVT LTD,KE740U,740.0,705.2,Mono-c-Si,3.08,22.0,N,18.42,50.1,17.76,41.7,43.1,-0.291,0.007736400000000002,-0.11773499999999999,,,0,1.7160035393172297,18.420003252774173,3.852457164441664e-12,0.15131670811795805,856889.215965454,1.6791779269870923,2.0,bootstrapping,-6.750541734962949e-15,-0.007367935965883841,0.007918497416831524,0.0004922184690344326,
La Solar LLC,LS390BL,390.0,367.6,Mono-c-Si,1.96,18.0,N,13.59,36.7,12.78,30.53,43.2,-0.3263,0.005585489999999999,-0.10910910000000001,,,0,1.3312843610460396,13.605703531058943,1.4212854220383336e-11,0.15740988583141988,136.22416182316692,-8.335123433393974,4.0,first_pass,-1.3071058420899561e-16,-0.0004038852178069096,0.00040228886978812737,-1.7588265466167208e-06,
La Solar LLC,LS395BL,395.0,372.4,Mono-c-Si,1.96,18.0,N,13.66,36.9,12.87,30.7,43.2,-0.3263,0.005614259999999999,-0.1097037,,,0,1.3708131980409617,13.672492114845912,2.7430307759086816e-11,0.15145683052104028,165.61649860275142,-3.367183609719723,4.0,first_pass,-1.300407642313507e-16,-0.00028498044969933804,0.00028419648908025157,-8.649510624002682e-07,
La Solar LLC,LS400BL,400.0,377.3,Mono-c-Si,1.96,18.0,N,13.73,37.1,12.96,30.87,43.2,-0.3263,0.00564303,-0.1102983,,,0,1.3435026367672311,13.742183587220781,1.3759559024112687e-11,0.15704810618175588,176.98157927225998,-8.666551818129799,4.0,first_pass,-1.0997110804735709e-14,-0.0001676823814558932,0.00016740476951407414,-3.056827723013515e-07,
La Solar LLC,LS405BL,405.0,382.1,Mono-c-Si,1.96,18.0,N,13.81,37.3,13.06,30.87,43.2,-0.3263,0.005675909999999999,-0.1108929,,,0,1.3458163862622134,13.82097290459411,1.2542475069072518e-11,0.1716930528395709,216.0850897615173,-9.403895914666583,4.0,first_pass,4.608752031550396e-13,0.0024876045632522127,-0.0025502051251949324,-6.894446384943149e-05,
La Solar LLC,LS410BL,410.0,386.9,Mono-c-Si,1.96,18.0,N,13.88,37.5,13.15,31.2,43.2,-0.3263,0.00570468,-0.1114875,,,0,1.355503119465306,13.88868013529081,1.328065430425938e-11,0.1574478650038783,251.7675554730226,-9.023773549054228,4.0,first_pass,1.8207657603852567e-11,-0.0002588027184791668,0.000258131130614504,-7.383929030961441e-07,
La Solar LLC,LS430BL,430.0,401.9,Mono-c-Si,2.19,72.0,N,11.24,48.8,10.66,40.3,44.1,-0.3517,0.0057323999999999995,-0.1426912,,,0,1.8270098304761477,11.244722682035913,2.8046317108978286e-11,0.2709679242636031,644.9046374874205,-0.16043843320547385,4.0,first_pass,-1.2959186906656631e-14,0.00038164926401140607,-0.0003830332905889849,-1.5302109509752059e-06,
La Solar LLC,LS430HC,430.0,401.3,Mono-c-Si,2.209184,72.0,N,11.24,48.8,10.66,40.3,44.1,-0.3583,0.0054851200000000004,-0.1826584,,,0,1.8573637525005817,11.244018141470331,4.343137909148779e-11,0.2647657546374665,740.6327605967508,-19.293132121333798,4.0,first_pass,-1.5803886471532478e-16,0.0003816660874109484,-0.0003830332905889849,-1.513393995308539e-06,
La Solar LLC,LS435BL,435.0,406.7,Mono-c-Si,2.19,72.0,N,11.31,49.0,10.74,40.5,44.1,-0.3517,0.0057681,-0.143276,,,0,1.8341880401595205,11.31364832317388,2.813350374005568e-11,0.26673132075770756,826.8816086792107,-0.19017306619047883,4.0,first_pass,-1.5706072850576925e-16,0.001228287437525265,-0.0012428535918468664,-1.6092735775257427e-05,
La Solar LLC,LS435HC,435.0,406.1,Mono-c-Si,2.209184,72.0,N,11.31,49.0,10.74,40.5,44.1,-0.3583,0.0055192800000000005,-0.18340700000000001,,,0,1.8646463210568516,11.312972499645696,4.3560496873421383e-11,0.26055195035638024,991.3685705997638,-19.31781437520321,4.0,first_pass,-1.9789651791726928e-14,0.0012284638876666656,-0.0012428535918468664,-1.5916504935438725e-05,
La Solar LLC,LS440BL,440.0,411.5,Mono-c-Si,2.19,72.0,N,11.39,49.2,10.82,40.7,44.1,-0.3517,0.0058089,-0.1438608,,,0,1.8421577790714154,11.393361769303036,2.854181909316439e-11,0.2622652637073716,888.5801455575842,-0.13182414914114768,4.0,first_pass,0.0,0.0020529321948239147,-0.0020942235707336627,-4.5590674901270696e-05,
La Solar LLC,LS440HC,440.0,410.9,Mono-c-Si,2.209184,72.0,N,11.39,49.2,10.82,40.7,44.1,-0.3583,0.00555832,-0.18415560000000003,,,0,1.9860469807249723,11.390008778538087,1.9852509982862842e-10,0.23358031694640596,303085.69728535577,-8.895464035617946,4.0,first_pass,0.0,0.0026572779767116165,-0.0020942235707336627,0.0005574894718051619,
La Solar LLC,LS445BL,445.0,416.3,Mono-c-Si,2.19,72.0,N,11.46,49.4,10.9,40.8,44.1,-0.3517,0.0058446,-0.1444456,,,0,1.846996439201968,11.462253773260834,2.7682354183309376e-11,0.2687302048831564,1366.4409751422545,-0.43360323269852685,4.0,first_pass,-1.1381704188785478e-11,0.0004911804871774124,-0.0004934859849980553,-2.5478885071518274e-06,
La Solar LLC,LS445HC,445.0,415.7,Mono-c-Si,2.209184,72.0,N,11.46,49.4,10.9,40.8,44.1,-0.3583,0.00559248,-0.18490420000000002,,,0,1.9574606342593917,11.460009479417735,1.2559870449838512e-10,0.2468440997157522,298431.29609540687,-12.23515426783355,4.0,first_pass,1.5500495980804978e-16,0.0004912779128543166,-0.0004934859849980553,-2.4505109084367885e-06,
La Solar LLC,LS450BL,450.0,421.1,Mono-c-Si,2.19,72.0,N,11.53,49.6,10.98,41.0,44.1,-0.3517,0.0058803,-0.1450304,,,0,1.8541952859902189,11.531217775658973,2.7777093448479795e-11,0.2645952209041589,2505.2095715362893,-0.4596487576241359,4.0,first_pass,1.6876160293833776e-12,0.0013252301425415822,-0.0013422818791945254,-1.883056905899676e-05,
La Solar LLC,LS450HC,450.0,420.5,Mono-c-Si,2.209184,72.0,N,11.53,49.6,10.98,41.0,44.1,-0.3583,0.0056266400000000005,-0.18565280000000003,,,0,1.9144947183384837,11.53000580767296,6.460851691132027e-11,0.2526710193007977,501648.8596910484,-16.851493822120606,4.0,first_pass,-6.316620157451021e-14,0.0013256311102363303,-0.0013422818791945254,-1.8430139575941918e-05,
La Solar LLC,LS530BF,530.0,498.7,Mono-c-Si,2.58,72.0,N,13.6,49.3,12.92,41.03,43.0,-0.3437,0.004950400000000001,-0.12813070000000001,,,1,1.7966363796580582,13.605392152562779,1.6352354962257348e-11,0.20744524095562394,523.2150382849163,6.147081349755471,4.0,first_pass,-7.836868409118752e-16,4.414542834512175e-05,-4.416477058043046e-05,-2.1291908058607444e-08,
La Solar LLC,LS530BL,530.0,498.3,Mono-c-Si,2.58,72.0,N,13.6,49.3,12.92,41.03,43.3,-0.3418,0.0048688,-0.1274405,,,0,1.7911073562147317,13.605537209828965,1.502209082094783e-11,0.2083965153668902,511.84490515684547,6.001072872579426,4.0,bootstrapping,1.4668005372400598e-13,4.414537088231531e-05,-4.416477058043046e-05,-2.134936830711313e-08,
La Solar LLC,SLR530BF,530.0,498.7,Mono-c-Si,2.58,72.0,N,13.6,49.3,12.92,41.03,43.0,-0.3437,0.004950400000000001,-0.12813070000000001,,,1,1.7966363796580582,13.605392152562779,1.6352354962257348e-11,0.20744524095562394,523.2150382849163,6.147081349755471,4.0,first_pass,-7.836868409118752e-16,4.414542834512175e-05,-4.416477058043046e-05,-2.1291908058607444e-08,
La Solar LLC,SLR530BL,530.0,498.3,Mono-c-Si,2.58,72.0,N,13.6,49.3,12.92,41.03,43.3,-0.3418,0.0048688,-0.1274405,,,0,1.7911073562147317,13.605537209828965,1.502209082094783e-11,0.2083965153668902,511.84490515684547,6.001072872579426,4.0,bootstrapping,1.4668005372400598e-13,4.414537088231531e-05,-4.416477058043046e-05,-2.134936830711313e-08,
La Solar LLC,LS535BF,535.0,503.5,Mono-c-Si,2.58,72.0,N,13.7,49.4,12.96,41.29,43.0,-0.3437,0.0049868,-0.12839060000000002,,,1,1.8077419890384978,13.709053541044623,1.8349199189279665e-11,0.1904404858251059,288.17836670705304,7.10136769939176,4.0,first_pass,-4.43570565517391e-13,-0.003844474339543125,0.0037043598966874994,-0.0001543557594229806,
La Solar LLC,LS535BL,535.0,503.2,Mono-c-Si,2.58,72.0,N,13.7,49.4,12.96,41.29,43.3,-0.3418,0.004904599999999999,-0.127699,,,0,1.8021550123054604,13.709209579471445,1.685632660079572e-11,0.19140266965649694,284.7270707448977,6.954589285699639,4.0,first_pass,-1.1174192147409751e-12,-0.0038448132734085977,0.0037043598966874994,-0.0001546959488215312,
La Solar LLC,SLR535BF,535.0,503.5,Mono-c-Si,2.58,72.0,N,13.7,49.4,12.96,41.29,43.0,-0.3437,0.0049868,-0.12839060000000002,,,1,1.8077419890384978,13.709053541044623,1.8349199189279665e-11,0.1904404858251059,288.17836670705304,7.10136769939176,4.0,first_pass,-4.43570565517391e-13,-0.003844474339543125,0.0037043598966874994,-0.0001543557594229806,
La Solar LLC,SLR535BL,535.0,503.2,Mono-c-Si,2.58,72.0,N,13.7,49.4,12.96,41.29,43.3,-0.3418,0.004904599999999999,-0.127699,,,0,1.8021550123054604,13.709209579471445,1.685632660079572e-11,0.19140266965649694,284.7270707448977,6.954589285699639,4.0,first_pass,-1.1174192147409751e-12,-0.0038448132734085977,0.0037043598966874994,-0.0001546959488215312,
La Solar LLC,LS540BF,540.0,508.3,Mono-c-Si,2.58,72.0,N,13.81,49.5,13.0,41.55,43.0,-0.3437,0.00502684,-0.1286505,,,1,1.8195670698537263,13.8225785868581,2.0781263443179077e-11,0.17331453297496618,190.2816062120971,8.141633712728007,4.0,first_pass,2.765508475532613e-14,0.000554152406539725,-0.0005572650400986904,-3.4214433220962426e-06,
La Solar LLC,LS540BL,540.0,508.0,Mono-c-Si,2.58,72.0,N,13.81,49.5,13.0,41.55,43.3,-0.3418,0.00494398,-0.1279575,,,0,1.8139179605164293,13.822749565309946,1.909047772374483e-11,0.17428848977713135,188.784793842536,7.994061934975628,4.0,first_pass,1.845944750342722e-12,0.0005541464467510283,-0.0005572650400986904,-3.4273997896295475e-06,
La Solar LLC,SLR540BF,540.0,508.3,Mono-c-Si,2.58,72.0,N,13.81,49.5,13.0,41.55,43.0,-0.3437,0.00502684,-0.1286505,,,1,1.8195670698537263,13.8225785868581,2.0781263443179077e-11,0.17331453297496618,190.2816062120971,8.141633712728007,4.0,first_pass,2.765508475532613e-14,0.000554152406539725,-0.0005572650400986904,-3.4214433220962426e-06,
La Solar LLC,SLR540BL,540.0,508.0,Mono-c-Si,2.58,72.0,N,13.81,49.5,13.0,41.55,43.3,-0.3418,0.00494398,-0.1279575,,,0,1.8139179605164293,13.822749565309946,1.909047772374483e-11,0.17428848977713135,188.784793842536,7.994061934975628,4.0,first_pass,1.845944750342722e-12,0.0005541464467510283,-0.0005572650400986904,-3.4273997896295475e-06,
La Solar LLC,LS545BF,545.0,513.1,Mono-c-Si,2.58,72.0,N,13.92,49.6,13.04,41.81,43.0,-0.3437,0.00506688,-0.12891040000000004,,,1,1.831491626153011,13.9352606883543,2.353300995869818e-11,0.15626392754247137,142.53576445690246,9.19030245715835,4.0,first_pass,8.465769592371596e-13,-0.003301301525134171,0.003195985675049643,-0.00011586676246793312,
La Solar LLC,LS545BL,545.0,512.8,Mono-c-Si,2.58,72.0,N,13.92,49.6,13.04,41.81,43.3,-0.3418,0.004983359999999999,-0.12821600000000002,,,0,1.8257800920650342,13.935447330964054,2.16184708741197e-11,0.1572496941204198,141.70187432426658,9.041974184281681,4.0,first_pass,8.413448737188111e-13,-0.0033015534822506912,0.003195985675049643,-0.00011611952483582529,
La Solar LLC,SLR545BF,545.0,513.1,Mono-c-Si,2.58,72.0,N,13.92,49.6,13.04,41.81,43.0,-0.3437,0.00506688,-0.12891040000000004,,,1,1.831491626153011,13.9352606883543,2.353300995869818e-11,0.15626392754247137,142.53576445690246,9.19030245715835,4.0,first_pass,8.465769592371596e-13,-0.003301301525134171,0.003195985675049643,-0.00011586676246793312,
