P_0,h_0,P_50,h_50,P_100,h_100,P_150,h_150,P_200,h_200,P_250,h_250,P_300,h_300,P_350,h_350,P_400,h_400,P_450,h_450,P_500,h_500,P_550,h_550,P_600,h_600,P_650,h_650,P_700,h_700,P_750,h_750,P_800,h_800
26.9849,193.671,26.9849,291.825,26.9849,398.555,26.9849,496.709,26.9849,577.526,26.9849,648.565,26.9849,714.964,26.9849,779.137,26.9849,842.276,26.9849,905.017,26.9849,967.712,26.9849,1030.56,26.9849,1093.68,26.9849,1157.14,26.9849,1220.95,26.9849,1285.14,26.9849,1349.71
27.1106,193.682,27.1106,291.728,27.1106,398.227,27.1106,496.316,27.1106,577.203,27.1106,648.308,27.1106,714.758,27.1106,778.969,27.1106,842.14,27.1106,904.905,27.1106,967.62,27.1106,1030.49,27.1106,1093.62,27.1106,1157.09,27.1106,1220.92,27.1106,1285.12,27.1106,1349.69
27.2362,193.693,27.2362,291.633,27.2362,397.903,27.2362,495.926,27.2362,576.88,27.2362,648.052,27.2362,714.552,27.2362,778.803,27.2362,842.003,27.2362,904.793,27.2362,967.528,27.2362,1030.41,27.2362,1093.56,27.2362,1157.04,27.2362,1220.88,27.2362,1285.09,27.2362,1349.67
27.3618,193.704,27.3618,291.539,27.3618,397.584,27.3618,495.54,27.3618,576.56,27.3618,647.797,27.3618,714.348,27.3618,778.636,27.3618,841.867,27.3618,904.681,27.3618,967.437,27.3618,1030.34,27.3618,1093.5,27.3618,1156.99,27.3618,1220.84,27.3618,1285.06,27.3618,1349.65
27.4874,193.715,27.4874,291.447,27.4874,397.268,27.4874,495.156,27.4874,576.24,27.4874,647.543,27.4874,714.143,27.4874,778.47,27.4874,841.731,27.4874,904.57,27.4874,967.345,27.4874,1030.26,27.4874,1093.44,27.4874,1156.95,27.4874,1220.81,27.4874,1285.04,27.4874,1349.64
27.6131,193.726,27.6131,291.355,27.6131,396.957,27.6131,494.775,27.6131,575.923,27.6131,647.289,27.6131,713.94,27.6131,778.305,27.6131,841.596,27.6131,904.459,27.6131,967.255,27.6131,1030.19,27.6131,1093.38,27.6131,1156.9,27.6131,1220.77,27.6131,1285.01,27.6131,1349.62
27.7387,193.738,27.7387,291.265,27.7387,396.649,27.7387,494.396,27.7387,575.606,27.7387,647.037,27.7387,713.737,27.7387,778.14,27.7387,841.461,27.7387,904.348,27.7387,967.164,27.7387,1030.12,27.7387,1093.32,27.7387,1156.85,27.7387,1220.74,27.7387,1284.98,27.7387,1349.6
27.8643,193.749,27.8643,291.176,27.8643,396.345,27.8643,494.021,27.8643,575.292,27.8643,646.786,27.8643,713.535,27.8643,777.976,27.8643,841.327,27.8643,904.238,27.8643,967.074,27.8643,1030.04,27.8643,1093.26,27.8643,1156.81,27.8643,1220.7,27.8643,1284.96,27.8643,1349.58
27.9899,193.762,27.9899,291.088,27.9899,396.045,27.9899,493.649,27.9899,574.978,27.9899,646.535,27.9899,713.333,27.9899,777.812,27.9899,841.193,27.9899,904.128,27.9899,966.984,27.9899,1029.97,27.9899,1093.21,27.9899,1156.76,27.9899,1220.66,27.9899,1284.93,27.9899,1349.57
28.1156,193.774,28.1156,291.001,28.1156,395.749,28.1156,493.279,28.1156,574.666,28.1156,646.286,28.1156,713.132,28.1156,777.649,28.1156,841.059,28.1156,904.018,28.1156,966.894,28.1156,1029.9,28.1156,1093.15,28.1156,1156.71,28.1156,1220.63,28.1156,1284.91,28.1156,1349.55
28.2412,193.786,28.2412,290.916,28.2412,395.457,28.2412,492.912,28.2412,574.356,28.2412,646.037,28.2412,712.932,28.2412,777.486,28.2412,840.926,28.2412,903.909,28.2412,966.804,28.2412,1029.82,28.2412,1093.09,28.2412,1156.67,28.2412,1220.59,28.2412,1284.88,28.2412,1349.53
28.3668,193.799,28.3668,290.831,28.3668,395.168,28.3668,492.548,28.3668,574.047,28.3668,645.789,28.3668,712.733,28.3668,777.324,28.3668,840.793,28.3668,903.8,28.3668,966.715,28.3668,1029.75,28.3668,1093.03,28.3668,1156.62,28.3668,1220.56,28.3668,1284.86,28.3668,1349.52
28.4925,193.812,28.4925,290.748,28.4925,394.883,28.4925,492.187,28.4925,573.74,28.4925,645.543,28.4925,712.534,28.4925,777.162,28.4925,840.661,28.4925,903.691,28.4925,966.626,28.4925,1029.68,28.4925,1092.97,28.4925,1156.58,28.4925,1220.52,28.4925,1284.83,28.4925,1349.5
28.6181,193.825,28.6181,290.666,28.6181,394.601,28.6181,491.828,28.6181,573.434,28.6181,645.297,28.6181,712.335,28.6181,777.001,28.6181,840.528,28.6181,903.583,28.6181,966.538,28.6181,1029.61,28.6181,1092.91,28.6181,1156.53,28.6181,1220.49,28.6181,1284.81,28.6181,1349.48
28.7437,193.838,28.7437,290.585,28.7437,394.323,28.7437,491.473,28.7437,573.13,28.7437,645.052,28.7437,712.138,28.7437,776.84,28.7437,840.397,28.7437,903.475,28.7437,966.449,28.7437,1029.53,28.7437,1092.86,28.7437,1156.48,28.7437,1220.45,28.7437,1284.78,28.7437,1349.47
28.8693,193.852,28.8693,290.505,28.8693,394.048,28.8693,491.12,28.8693,572.827,28.8693,644.808,28.8693,711.941,28.8693,776.68,28.8693,840.266,28.8693,903.367,28.8693,966.361,28.8693,1029.46,28.8693,1092.8,28.8693,1156.44,28.8693,1220.42,28.8693,1284.76,28.8693,1349.45
28.995,193.866,28.995,290.426,28.995,393.777,28.995,490.769,28.995,572.525,28.995,644.565,28.995,711.745,28.995,776.52,28.995,840.135,28.995,903.26,28.995,966.273,28.995,1029.39,28.995,1092.74,28.995,1156.39,28.995,1220.39,28.995,1284.73,28.995,1349.43
29.1206,193.88,29.1206,290.348,29.1206,393.509,29.1206,490.422,29.1206,572.225,29.1206,644.323,29.1206,711.549,29.1206,776.36,29.1206,840.004,29.1206,903.153,29.1206,966.186,29.1206,1029.32,29.1206,1092.69,29.1206,1156.35,29.1206,1220.35,29.1206,1284.71,29.1206,1349.42
29.2462,193.894,29.2462,290.271,29.2462,393.244,29.2462,490.077,29.2462,571.927,29.2462,644.081,29.2462,711.354,29.2462,776.202,29.2462,839.874,29.2462,903.046,29.2462,966.099,29.2462,1029.25,29.2462,1092.63,29.2462,1156.3,29.2462,1220.32,29.2462,1284.68,29.2462,1349.4
29.3719,193.908,29.3719,290.195,29.3719,392.982,29.3719,489.735,29.3719,571.63,29.3719,643.841,29.3719,711.16,29.3719,776.043,29.3719,839.745,29.3719,902.94,29.3719,966.012,29.3719,1029.18,29.3719,1092.57,29.3719,1156.26,29.3719,1220.28,29.3719,1284.66,29.3719,1349.39
29.4975,193.923,29.4975,290.12,29.4975,392.723,29.4975,489.396,29.4975,571.334,29.4975,643.602,29.4975,710.966,29.4975,775.886,29.4975,839.616,29.4975,902.834,29.4975,965.925,29.4975,1029.11,29.4975,1092.52,29.4975,1156.22,29.4975,1220.25,29.4975,1284.63,29.4975,1349.37
29.6231,193.937,29.6231,290.046,29.6231,392.468,29.6231,489.059,29.6231,571.04,29.6231,643.363,29.6231,710.773,29.6231,775.728,29.6231,839.487,29.6231,902.728,29.6231,965.839,29.6231,1029.04,29.6231,1092.46,29.6231,1156.17,29.6231,1220.22,29.6231,1284.61,29.6231,1349.36
29.7487,193.952,29.7487,289.973,29.7487,392.216,29.7487,488.725,29.7487,570.748,29.7487,643.126,29.7487,710.581,29.7487,775.572,29.7487,839.358,29.7487,902.623,29.7487,965.752,29.7487,1028.97,29.7487,1092.4,29.7487,1156.13,29.7487,1220.18,29.7487,1284.59,29.7487,1349.34
29.8744,193.968,29.8744,289.901,29.8744,391.966,29.8744,488.394,29.8744,570.456,29.8744,642.889,29.8744,710.389,29.8744,775.415,29.8744,839.23,29.8744,902.518,29.8744,965.667,29.8744,1028.9,29.8744,1092.35,29.8744,1156.08,29.8744,1220.15,29.8744,1284.56,29.8744,1349.32
30,193.983,30,289.83,30,391.72,30,488.065,30,570.167,30,642.653,30,710.198,30,775.26,30,839.103,30,902.414,30,965.581,30,1028.83,30,1092.29,30,1156.04,30,1220.12,30,1284.54,30,1349.31
